tchr,g,uid,pr_raw,pr_prcnt,(1.MD.UR_L)r,(2.MD.UR.pr)r,(3.MD.UR.pr) r   ,(5.MS.UR.pr)r,(6.MS.UR.pr)r,(7.MS.UR.pr)r,(10.MD.NUR.pr)r,(11.MD.NUR.pr)r ,(12.MD.NUR_L)r ,(14.MS.NUR.pr)r   ,(15.MS.NUR.pr)r   ,(16.MS.NUR_L)r  ,(19.ND.NUR.pr)r   ,(20.ND.NUR.pr)r  ,(21.ND.NUR_L)r   ,(25.NS.NUR.pr)r   ,(26.NS.NUR.pr)r   ,(27.NS.NUR.pr)r  ,(32.MT.UR.pr)r   ,(33.MT.UR.pr)r  ,(34.MT.UR_L)r  ,(38.MT.NUR.pr)r ,(39.MT.NUR.pr)r  ,(40.MT.NUR_L)r 
Ms. Trombino,6,8295,13,54.20%,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Ms. Trombino,6,8296,9,37.50%,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Ms. Trombino,6,8297,23,95.80%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8298,21,87.50%,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8299,18,75.00%,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0
Ms. Trombino,6,8300,2,8.30%,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8301,17,70.80%,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
Ms. Trombino,6,8302,10,41.70%,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
Ms. Trombino,6,8304,17,70.80%,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1
Ms. Trombino,6,8305,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Ms. Trombino,6,8306,19,79.20%,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Ms. Trombino,6,8307,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
Ms. Trombino,6,8308,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Ms. Trombino,6,8309,21,87.50%,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Ms. Trombino,6,8310,16,66.70%,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
Ms. Trombino,6,8311,17,70.80%,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
Ms. Trombino,6,8312,21,87.50%,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Ms. Trombino,9,8313,10,41.70%,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8314,7,29.20%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ms. Trombino,6,8315,19,79.20%,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
Ms. Trombino,6,8316,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Ms. Trombino,6,8317,17,70.80%,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0
Ms. Trombino,6,8318,17,70.80%,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0
Ms. Adams,6,8319,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,2,8320,5,20.80%,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8321,16,66.70%,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
Ms. Trombino,6,8322,10,41.70%,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Ms. Trombino,6,8323,2,8.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Ms. Trombino,6,8325,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8326,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8327,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Ms. Trombino,6,8328,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0
Ms. Trombino,6,8329,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
Ms. Trombino,6,8330,15,62.50%,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
Ms. Trombino,6,8331,3,12.50%,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8332,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8333,22,91.70%,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8334,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
Ms. Trombino,6,8335,6,25.00%,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ms. Trombino,6,8336,8,33.30%,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Ms. Trombino,6,8337,6,25.00%,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8338,16,66.70%,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
Ms. Trombino,6,8339,9,37.50%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Ms. Trombino,6,8340,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Ms. Trombino,6,8341,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Ms. Trombino,6,8342,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
Ms. Trombino,6,8343,18,75.00%,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
Ms. Trombino,6,8344,10,41.70%,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Ms. Trombino,6,8345,13,54.20%,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
Ms. Trombino,6,8346,5,20.80%,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ms. Trombino,6,8347,6,25.00%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Geyer,6,8348,18,75.00%,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0
Ms. Geyer,6,8349,10,41.70%,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Ms. Geyer,6,8350,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Geyer,6,8351,11,45.80%,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Ms. Geyer,6,8352,22,91.70%,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Geyer,6,8353,12,50.00%,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ms. Geyer,6,8354,21,87.50%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Ms. Geyer,6,8355,10,41.70%,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Ms. Geyer,6,8356,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
Ms. Geyer,6,8359,10,41.70%,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
Ms. Trombino,6,8360,20,83.30%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8361,17,70.80%,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0
Ms. Trombino,6,8363,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0
Ms. Trombino,6,8364,10,41.70%,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8365,18,75.00%,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1
Ms. Trombino,6,8367,11,45.80%,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
Ms. Trombino,6,8368,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8369,18,75.00%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0
Ms. Trombino,6,8370,14,58.30%,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
Ms. Trombino,6,8371,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8372,21,87.50%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ms. Trombino,6,8373,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
Ms. Trombino,6,8374,17,70.80%,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1
